Stage,BeakerID,MatePair,Treatment,PhotoID,SampleID,AL1_mm,AL2_mm,BL_mm,stomach_mm,,,,,,,,,,,,,,,,,
Pluteus,A_B7,2,500ppb,A_plut_b7-0012,11,0.31,0.309,0.237,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B7,2,500ppb,A_plut_b7-0013,12,0.291,0.294,0.242,0.003,,,,,,,,,,,,,,,,,
Pluteus,A_B7,2,500ppb,A_plut_b7-0020,19,0.342,0.332,0.268,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B7,2,500ppb,A_plut_b7-0021,20,0.289,0.298,0.242,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B7,2,500ppb,A_plut_b7-0031,30,0.334,0.324,0.254,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B7,2,500ppb,A_plut_b7-0032,31,0.29,0.282,0.235,0.003,,,,,,,,,,,,,,,,,
Pluteus,A_B7,2,500ppb,A_plut_b7-0037,36,0.312,0.314,0.237,0.003,,,,,,,,,,,,,,,,,
Pluteus,A_B8,2,1000ppb,A_plut_b8-0002,1,0.339,0.331,0.254,0.005,,,,,,,,,,,,,,,,,
Pluteus,B_B9,3,Control,B_plut_b9-0002,1,0.292,0.292,0.242,0.004,,,,,,,,,,,,,,,,,
Pluteus,B_B9,3,Control,B_plut_b9-0006,5,0.294,0.288,0.244,0.004,,,,,,,,,,,,,,,,,
Pluteus,B_B9,3,Control,B_plut_b9-0010,8,,,,0.004,,,,,,,,,,,,,,,,,
Pluteus,B_B9,3,Control,B_plut_b9-0011,9,0.28,0.28,0.235,0.004,,,,,,,,,,,,,,,,,
Pluteus,B_B9,3,Control,B_plut_b9-0014,12,0.232,0.199,0.192,0.002,,,,,,,,,,,,,,,,,
Pluteus,B_B9,3,Control,B_plut_b9-0015,13,,,,0.004,,,,,,,,,,,,,,,,,
Pluteus,B_B9,3,Control,B_plut_b9-0044,41,0.284,0.275,0.246,0.004,,,,,,,,,,,,,,,,,
Pluteus,B_B9,3,Control,B_plut_b9-0047,44,0.264,0.258,0.21,0.003,,,,,,,,,,,,,,,,,
Pluteus,B_B9,3,Control,B_plut_b9-0049,46,0.3,0.286,0.234,0.005,,,,,,,,,,,,,,,,,
Pluteus,B_B9,3,Control,B_plut_b9-0053,50,0.283,0.295,0.23,0.005,,,,,,,,,,,,,,,,,
Pluteus,B_B9,3,Control,B_plut_b9-0059,56,0.265,0.278,0.231,0.003,,,,,,,,,,,,,,,,,
Pluteus,B_B9,3,Control,B_plut_b9-0063,60,0.286,0.288,0.24,0.004,,,,,,,,,,,,,,,,,
Pluteus,B_B9,3,Control,B_plut_b9-0064,61,,,,0.004,,,,,,,,,,,,,,,,,
Pluteus,B_B9,3,Control,B_plut_b9-0066,63,0.23,0.227,0.194,0.004,,,,,,,,,,,,,,,,,
Pluteus,B_B9,3,Control,B_plut_b9-0069,66,0.245,0.244,0.196,0.004,,,,,,,,,,,,,,,,,
Pluteus,B_B9,3,Control,B_plut_b9-0074,71,,,,0.004,,,,,,,,,,,,,,,,,
Pluteus,B_B9,3,Control,B_plut_b9-0077,74,0.232,0.233,0.205,0.002,,,,,,,,,,,,,,,,,
Pluteus,B_B9,3,Control,B_plut_b9-0079,76,0.266,0.268,0.228,0.004,,,,,,,,,,,,,,,,,
Pluteus,B_B9,3,Control,B_plut_b9-0081,78,0.261,0.263,0.224,0.003,,,,,,,,,,,,,,,,,
Pluteus,B_B10,3,100ppb,B_plut_b10-0082,84,0.235,0.236,0.185,0.004,,,,,,,,,,,,,,,,,
Pluteus,B_B12,3,1000ppb,B_plut_b12-0005,4,0.23,0.247,0.175,0.002,,,,,,,,,,,,,,,,,
Pluteus,B_B12,3,1000ppb,B_plut_b12-0007,6,0.289,0.302,0.246,0.003,,,,,,,,,,,,,,,,,
Pluteus,B_B12,3,1000ppb,B_plut_b12-0008,7,,,,0.005,,,,,,,,,,,,,,,,,
